Strain,TriazoleClass,Itraconazole_MIC,Itraconazole_OD_0ug/ml,Itraconazole_OD_0.01ug/ml,Itraconazole_OD_0.03ug/ml,Itraconazole_OD_0.06ug/ml,Itraconazole_OD_0.12ug/ml,Itraconazole_OD_0.25ug/ml,Itraconazole_OD_0.5ug/ml,Itraconazole_OD_1ug/ml,Itraconazole_OD_2ug/ml,Itraconazole_OD_4ug/ml,Itraconazole_OD_8ug/ml,Itraconazole_OD_16ug/ml,Voriconazole_MIC,Voriconazole_OD_0ug/ml,Voriconazole_OD_0.01ug/ml,Voriconazole_OD_0.03ug/ml,Voriconazole_OD_0.06ug/ml,Voriconazole_OD_0.12ug/ml,Voriconazole_OD_0.25ug/ml,Voriconazole_OD_0.5ug/ml,Voriconazole_OD_1ug/ml,Voriconazole_OD_2ug/ml,Voriconazole_OD_4ug/ml,Voriconazole_OD_8ug/ml,Voriconazole_OD_16ug/ml,AmphotericinB_MIC,AmphotericinB_OD_0ug/ml,AmphotericinB_OD_0.01ug/ml,AmphotericinB_OD_0.03ug/ml,AmphotericinB_OD_0.06ug/ml,AmphotericinB_OD_0.12ug/ml,AmphotericinB_OD_0.25ug/ml,AmphotericinB_OD_0.5ug/ml,AmphotericinB_OD_1ug/ml,AmphotericinB_OD_2ug/ml,AmphotericinB_OD_4ug/ml,AmphotericinB_OD_8ug/ml,AmphotericinB_OD_16ug/ml,ZOC_Mean(24h),CD_Mean(24h),ZOC_Mean(48h),CD_Mean(48h),ZOC_Mean(72h),CD_Mean(72h),ZOC/CD(24h),ZOC/CD(48h),ZOC/CD(72h),RawBiofilm_OD,StandardizedBiofilm_OD,TempGrowth15(24h),TempGrowth15(48h),TempGrowth15(72h),TempGrowth22(24h),TempGrowth22(48h),TempGrowth22(72h),TempGrowth35(24h),TempGrowth35(48h),TempGrowth35(72h),TempGrowth41(24h),TempGrowth41(48h),TempGrowth41(72h),AUC15(24-48h),AUC22(24-48h),AUC35(24-48h),AUC41(24-48h),Contains≥95%_of_SNPs
J57xP20_1,susceptible,0.5,0.292333333,0.190311015,0.198716912,0.202165029,0.209801906,0.198,0.051,0.01,0.01,0.008333333,0.008,0.008,0.5,0.275333333,0.236748757,0.251574326,0.254402664,0.272420493,0.113333333,0.009333333,0.01,0.018,0.018,0.018,0.018,4,0.308333333,0.229851308,0.223516505,0.235977341,0.236046965,0.304,0.285333333,0.269333333,0.254,0.012,0.011,0.012,1.74,1.24,3.29,1.98,4.56,3.44,1.41,1.66,1.33,0.083,0.033,0.134,0.134,0.136,0.134,0.396,0.503,0.357,0.466,0.545,0.321,0.405,0.468,0.134,0.265166667,0.4115,0.363166667,No
J57xP20_2,susceptible,0.5,0.247,0.182547683,0.19823624,0.201507153,0.184350097,0.155,0.048666667,0.009,0.009,0.009333333,0.008333333,0.046,0.5,0.256,0.26491914,0.264971947,0.268852449,0.24506762,0.110666667,0.016666667,0.008,0.008,0.021333333,0.027,0.021666667,4,0.305333333,0.227446827,0.225768817,0.229457125,0.241907457,0.23,0.257,0.213333333,0.166,0.011,0.012,0.011,1.83,1.14,3.33,1.11,4.58,3.49,1.6,2.99,1.31,0.083,0.032666667,0.076,0.077,0.076,0.066,0.274,0.388,0.28,0.377,0.438,0.283,0.363,0.427,0.0765,0.170166667,0.3285,0.322666667,Yes
J57xP20_3,susceptible,0.5,0.236666667,0.18282917,0.201828194,0.207305738,0.221206647,0.206333333,0.029,0.009,0.018,0.018,0.018,0.010333333,0.5,0.237666667,0.275654662,0.28062846,0.274413277,0.275136876,0.125666667,0.021,0.018,0.017666667,0.007,0.035666667,0.007333333,4,0.261333333,0.220275098,0.24245352,0.228076909,0.216234747,0.244,0.207666667,0.204,0.145333333,0.011,0.013,0.012333333,1.78,1.27,3.24,1.55,4.56,3.41,1.4,2.09,1.34,0.073,0.023333333,0.073,0.074,0.076,0.07,0.249,0.339,0.281,0.4,0.467,0.209,0.294,0.345,0.073333334,0.159666667,0.340333334,0.251666667,Yes
J57xP20_4,susceptible,0.5,0.244666667,0.201765242,0.191557849,0.190574725,0.191122465,0.199666667,0.01,0.029,0.019,0.018,0.019666667,0.029,0.25,0.248333333,0.274407411,0.275470282,0.245282661,0.263541855,0.007,0.007666667,0.011,0.01,0.009666667,0.010333333,0.012,4,0.284,0.241371373,0.225380144,0.251710091,0.227417447,0.243,0.227333333,0.364666667,0.197666667,0.013,0.013,0.005,1.91,1.24,3.37,1.52,4.61,3.51,1.54,2.21,1.32,0.077,0.027333333,0.097,0.098,0.099,0.103,0.299,0.406,0.286,0.391,0.443,0.253,0.349,0.42,0.0975,0.201166667,0.3385,0.301,Yes
J57xP20_5,susceptible,0.5,0.269666667,0.202541042,0.204236496,0.20046781,0.189897729,0.178333333,0.029,0.018,0.019,0.017666667,0.016,0.016,0.5,0.257666667,0.254055094,0.246563141,0.251322215,0.243273461,0.086,0.012,0.009,0.009,0.009,0.012666667,0.012333333,4,0.253666667,0.222323452,0.23821771,0.238385396,0.219214336,0.259333333,0.247666667,0.247333333,0.197333333,0.011,0.012,0.012333333,1.66,1.19,3.01,1.48,4.43,3.39,1.4,2.04,1.31,0.079,0.029333333,0.083,0.083,0.085,0.085,0.276,0.378,0.27,0.372,0.429,0.226,0.31,0.365,0.083166667,0.180166667,0.321,0.267833334,Yes
J57xP20_6,resistant,>16,0.225666667,0.18683931,0.18272148,0.202043142,0.209839019,0.218,0.234666667,0.212,0.214,0.161666667,0.181,0.153333333,8,0.238666667,0.261861351,0.261240116,0.274285816,0.261491698,0.203333333,0.2,0.191,0.210333333,0.19,0.016,0.016,4,0.257,0.219562948,0.24329048,0.246247362,0.214693058,0.220666667,0.217,0.221666667,0.172,0.015,0.012,0.014,1.67,1.21,3.22,1.52,4.46,3.39,1.37,2.12,1.32,0.086,0.036,0.133,0.092,0.096,0.101,0.264,0.349,0.238,0.328,0.4,0.215,0.303,0.371,0.112833333,0.182166667,0.283166667,0.259166667,Yes
J57xP20_7,susceptible,0.5,0.243666667,0.184026327,0.199756132,0.20674835,0.210815602,0.155333333,0.032333333,0.058333333,0.025666667,0.025666667,0.031,0.059,0.5,0.280666667,0.290512497,0.248346362,0.246244659,0.23867511,0.103333333,0.03,0.029333333,0.019333333,0.03,0.022333333,0.098666667,4,0.269666667,0.220803913,0.224292522,0.225614911,0.227772083,0.253333333,0.230666667,0.212333333,0.177333333,0.013,0.012,0.012,1.69,1.19,3.48,1.64,4.83,3.69,1.42,2.13,1.31,0.082,0.031666667,0.087,0.088,0.088,0.103,0.272,0.373,0.277,0.373,0.441,0.219,0.296,0.35,0.087666667,0.1875,0.324833334,0.2575,Yes
J57xP20_8,susceptible,0.5,0.216666667,0.220100408,0.20938022,0.189230478,0.187818303,0.173666667,0.046,0.046333333,0.019666667,0.026666667,0.073,0.038333333,0.5,0.302,0.2596361,0.276288917,0.246950763,0.244238955,0.057,0.023,0.045666667,0.046666667,0.043,0.015,0.015,4,0.269,0.240395789,0.23392033,0.235386607,0.23291284,0.243333333,0.222666667,0.255,0.174,0.012,0.012,0.014,1.9,1.24,3.39,1.89,4.67,3.64,1.53,1.79,1.28,0.077,0.027333333,0.106,0.079,0.079,0.098,0.288,0.396,0.247,0.327,0.393,0.217,0.272,0.318,0.092333334,0.193166667,0.286666667,0.244333334,Yes
J57xP20_9,susceptible,0.5,0.259,0.194250028,0.189756105,0.190785755,0.216218065,0.169333333,0.033333333,0.025333333,0.018333333,0.018666667,0.043,0.036,0.5,0.294,0.282344143,0.256595245,0.262623444,0.253703999,0.104,0.038333333,0.029,0.088,0.037666667,0.036666667,0.015,4,0.296,0.230561947,0.21997562,0.216055776,0.23512367,0.252666667,0.250333333,0.218666667,0.181,0.013,0.013,0.012,1.99,1.34,3.5,1.71,4.73,3.59,1.49,2.04,1.32,0.087,0.036666667,0.127,0.127,0.128,0.128,0.29,0.391,0.348,0.47,0.559,0.245,0.331,0.408,0.127,0.208666667,0.409333333,0.288,No
J57xP20_10,susceptible,0.5,0.229666667,0.196045223,0.203692828,0.202487912,0.203821814,0.193333333,0.036,0.025333333,0.048666667,0.028666667,0.032666667,0.037666667,0.5,0.290333333,0.241300468,0.276539958,0.256244782,0.27025336,0.071,0.020333333,0.021,0.027,0.021,0.022,0.016,4,0.296666667,0.219828228,0.220871554,0.230551045,0.221587237,0.267,0.255,0.236,0.245,0.012,0.014,0.013,2.09,1.49,3.5,2.1,4.69,3.69,1.41,1.67,1.27,0.093,0.043,0.094,0.094,0.095,0.128,0.333,0.44,0.299,0.394,0.444,0.273,0.358,0.41,0.093833334,0.230666667,0.346166667,0.3155,Yes
J57xP20_11,susceptible,0.5,0.280666667,0.214705831,0.198687723,0.203023018,0.202845849,0.188666667,0.032,0.032666667,0.024,0.023,0.024666667,0.024,0.25,0.288333333,0.263094909,0.26034726,0.270297232,0.252962406,0.016666667,0.017333333,0.018,0.039666667,0.028,0.024,0.009,4,0.3,0.211139019,0.237649395,0.216315599,0.227979412,0.271666667,0.239333333,0.254,0.240666667,0.012,0.012,0,1.98,1.2,3.56,2.37,4.96,3.31,1.65,1.5,1.5,0.082,0.031666667,0.102,0.102,0.105,0.117,0.331,0.422,0.303,0.452,0.525,0.218,0.301,0.363,0.102,0.224,0.3775,0.2595,Yes
J57xP20_12,susceptible,0.5,0.287333333,0.207940367,0.180975834,0.2158092,0.194971637,0.258333333,0.038,0.025333333,0.022,0.024,0.027,0.034333333,0.25,0.312,0.230220772,0.261919516,0.264583402,0.282256496,0.018,0.086666667,0.024666667,0.024,0.025,0.021,0.035333333,4,0.349333333,0.230857111,0.233879787,0.227902,0.230864776,0.295333333,0.280333333,0.267666667,0.238,0.014,0.012,0.011,1.86,1.16,3.34,1.8,4.98,3.53,1.6,1.85,1.41,0.09,0.04,0.093,0.094,0.096,0.112,0.31,0.394,0.278,0.374,0.433,0.272,0.387,0.472,0.069333334,0.210666667,0.326166667,0.3295,Yes
J57xP20_13,susceptible,0.5,0.214666667,0.213062333,0.20716072,0.181948781,0.197691083,0.188,0.024,0.026,0.018,0.018,0.018,0.016666667,0.25,0.285666667,0.282190418,0.253516027,0.252110545,0.262891797,0.021,0.021,0.018,0.018,0.017,0.017,0.017,4,0.272333333,0.252182937,0.236896093,0.243140554,0.231848729,0.248,0.211333333,0.279,0.235,0.014,0.014,0.011666667,1.94,1.32,3.48,1.83,4.87,3.51,1.47,1.9,1.39,0.084,0.034333333,0.076,0.078,0.08,0.129,0.309,0.407,0.322,0.457,0.525,0.205,0.286,0.342,0.077,0.219,0.389666667,0.245666667,Yes
J57xP20_14,susceptible,0.5,0.233,0.198531469,0.179077779,0.214236356,0.204512579,0.130666667,0.016,0.012,0.012,0.009,0.012,0.008666667,0.5,0.271666667,0.272502193,0.262045366,0.280076459,0.260605015,0.12,0.017666667,0.010333333,0.01,0.010666667,0.011,0.008333333,4,0.245333333,0.227251239,0.23142078,0.2359084,0.220136998,0.244,0.228666667,0.210333333,0.204666667,0.013,0.014,0.011,1.86,1.22,3.32,2.19,4.76,3.53,1.52,1.52,1.35,0.087,0.037,0.056,0.056,0.056,0.069,0.215,0.293,0.258,0.374,0.458,0.231,0.326,0.401,0.056,0.142,0.316,0.2785,Yes
J57xP20_15,susceptible,0.5,0.261333333,0.211343324,0.191408409,0.197568356,0.207058167,0.143,0.012,0.027,0.008333333,0.009,0.009,0.011333333,0.25,0.247,0.247578224,0.269727219,0.266793212,0.24580421,0.010333333,0.008333333,0.009,0.009333333,0.009666667,0.01,0.01,4,0.288333333,0.232206734,0.2180265,0.227326708,0.237720558,0.229,0.21,0.249,0.219,0.011666667,0.014333333,0.013,1.81,1.11,3.46,1.99,5.04,3.37,1.62,1.73,1.49,0.084,0.034333333,0.075,0.075,0.077,0.09,0.287,0.396,0.304,0.443,0.525,0.217,0.312,0.389,0.075333333,0.188166667,0.3735,0.2645,Yes
J57xP20_16,resistant,>16,0.234333333,0.217346617,0.185598025,0.195692986,0.197820618,0.169,0.174,0.18,0.117333333,0.171333333,0.188333333,0.221,8,0.252666667,0.24031354,0.241579253,0.265448276,0.261297075,0.177666667,0.179,0.194333333,0.155666667,0.126,0.009333333,0.025,4,0.217666667,0.247031583,0.229566683,0.233716865,0.226666848,0.216,0.224333333,0.522,0.219666667,0.014,0.012333333,0.013,1.75,1.19,3.11,1.69,4.46,3.26,1.47,1.85,1.37,0.084,0.034333333,0.083,0.084,0.084,0.089,0.253,0.334,0.227,0.316,0.379,0.234,0.31,0.374,0.0835,0.170666667,0.2715,0.271833334,Yes
J57xP20_17,susceptible,0.5,0.213,0.205749745,0.218808454,0.209014969,0.208561928,0.117,0.012,0.006,0.009,0.012,0.012,0.028,0.5,0.270666667,0.263146393,0.275385492,0.253784747,0.227861698,0.086666667,0.01,0.008333333,0.019333333,0.018,0.018,0.02,4,0.249666667,0.227543889,0.24794849,0.237444166,0.235592863,0.215,0.222,0.236333333,0.449333333,0.012,0.012333333,0.013,1.8,1.14,3.21,2,4.56,3.25,1.57,1.61,1.4,0.075,0.025,0.077,0.076,0.077,0.106,0.3,0.395,0.311,0.433,0.509,0.235,0.327,0.428,0.076666667,0.203,0.372166667,0.281333333,No
J57xP20_18,susceptible,0.5,0.220333333,0.208968799,0.206414138,0.216551648,0.208424462,0.118333333,0.020666667,0.020666667,0.039666667,0.080666667,0.038,0.037,0.25,0.268,0.260532433,0.251431378,0.247341686,0.250221966,0.02,0.02,0.008333333,0.03,0.043,0.044,0.019,4,0.278666667,0.2418218,0.233625715,0.212944061,0.222031688,0.237666667,0.226333333,0.215,0.185,0.012,0.012,0.013,1.81,1.19,3.11,1.84,4.51,3.02,1.52,1.69,1.49,0.084,0.034,0.071,0.072,0.074,0.085,0.259,0.34,0.289,0.391,0.471,0.226,0.311,0.402,0.071833333,0.172,0.339833334,0.2685,Yes
J57xP20_19,susceptible,0.5,0.250666667,0.209247126,0.192653704,0.192821137,0.205681321,0.138333333,0.046,0.11,0.121666667,0.044,0.056333333,0.034,0.25,0.267,0.271869741,0.268123895,0.270712973,0.274204542,0.009,0.010333333,0.008666667,0.053666667,0.051666667,0.056,0.023,4,0.288,0.213866196,0.235838906,0.227274807,0.246197856,0.238666667,0.238,0.246,0.283666667,0.013,0.012,0.011333333,1.94,1.23,3.5,1.82,5.09,3.22,1.58,1.92,1.58,0.082,0.031666667,0.098,0.098,0.102,0.14,0.366,0.465,0.374,0.509,0.577,0.24,0.341,0.423,0.098,0.253166667,0.441666667,0.290666667,Yes
J57xP20_20,susceptible,0.5,0.258,0.221550256,0.222189557,0.197024538,0.213281291,0.209,0.022,0.018,0.041,0.022,0.017,0.016666667,0.5,0.304333333,0.269997637,0.25751898,0.258249393,0.26680257,0.084,0.023,0.021666667,0.055666667,0.033,0.03,0.023,4,0.256,0.214103036,0.241956618,0.223289026,0.232544319,0.275666667,0.248333333,0.201,0.213333333,0.017,0.014,0.019,1.99,1.34,3.6,2.05,5.14,3.67,1.48,1.75,1.4,0.093,0.043333333,0.07,0.073,0.072,0.078,0.281,0.395,0.292,0.442,0.534,0.208,0.308,0.392,0.071333334,0.179166667,0.366833334,0.257666667,Yes
J57xP20_21,susceptible,0.5,0.261,0.203152418,0.212090793,0.212155494,0.211695226,0.137666667,0.029,0.026333333,0.023,0.024666667,0.024666667,0.034333333,0.5,0.334333333,0.265373983,0.268806516,0.251565364,0.26414469,0.08,0.019333333,0.007666667,0.054666667,0.040666667,0.057,0.014,4,0.253333333,0.2245287,0.24389219,0.214447559,0.234883313,0.244333333,0.245666667,0.214,0.225333333,0.013,0.013,0.013,2.01,1.28,3.59,2.08,5.08,3.34,1.57,1.73,1.52,0.078,0.027666667,0.087,0.088,0.092,0.12,0.34,0.431,0.387,0.533,0.603,0.258,0.356,0.427,0.087833333,0.23,0.460333333,0.306833334,Yes
J57xP20_22,susceptible,0.5,0.216333333,0.181375665,0.203760234,0.22267187,0.215813706,0.145666667,0.029,0.022,0.040666667,0.030666667,0.036,0.037666667,0.5,0.277,0.251438124,0.274439147,0.246154874,0.2690505,0.110666667,0.010333333,0.017333333,0.026,0.038,0.035,0.022,4,0.244,0.225412236,0.226505717,0.210952852,0.232338639,0.187,0.186666667,0.190666667,0.177333333,0.012333333,0.012,0.011,1.85,1.2,3.21,2.21,4.44,3.35,1.54,1.45,1.33,0.077,0.027,0.082,0.083,0.086,0.11,0.302,0.379,0.338,0.441,0.509,0.233,0.317,0.377,0.082166667,0.205833334,0.389333334,0.274666667,Yes
J57xP20_23,susceptible,0.5,0.251333333,0.207098693,0.21678895,0.227098261,0.19336273,0.172333333,0.033333333,0.028,0.027333333,0.031,0.027,0.028666667,0.5,0.297,0.262414018,0.269852218,0.265047879,0.266214205,0.08,0.042666667,0.022,0.025333333,0.025,0.115666667,0.014,4,0.316333333,0.218648709,0.228170103,0.236552745,0.237803996,0.230333333,0.209666667,0.210666667,0.213,0.012,0.013,0.011,1.76,1.14,3.21,2.04,4.41,3.32,1.54,1.57,1.33,0.081,0.031333333,0.081,0.083,0.083,0.08,0.264,0.351,0.336,0.395,0.447,0.321,0.4,0.457,0.082,0.172166667,0.365833333,0.3605,Yes
